Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Casa;Jardim Botânico;2;0;1;100;7000.0;0.0;0.0;70.0;Casa
Apartamento;Vista Alegre;3;1;0;70;1200.0;0.0;0.0;17.14;Apartmento
Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000.0;0.0;0.0;29.33;Casa
Casa de Condomínio;Ramos;2;2;0;65;1000.0;0.0;0.0;15.38;Casa
Apartamento;Centro;1;0;0;36;1200.0;0.0;0.0;33.33;Apartmento
Casa de Condomínio;Taquara;3;1;1;115;2000.0;0.0;0.0;17.39;Casa
Casa;Campo Grande;4;1;2;400;12000.0;0.0;0.0;30.0;Casa
Apartamento;Praça Seca;2;0;0;80;1000.0;0.0;0.0;12.5;Apartmento
Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;18.57;Casa
Casa;Maracanã;8;3;5;259;7000.0;0.0;0.0;27.03;Casa
Casa;Benfica;1;0;0;33;1200.0;0.0;0.0;36.36;Casa
Apartamento;Rocha Miranda;2;1;0;50;1100.0;0.0;0.0;22.0;Apartmento
Apartamento;Barra da Tijuca;1;1;1;65;2350.0;0.0;0.0;36.15;Apartmento
Casa;Jardim Carioca;3;2;1;135;3000.0;0.0;0.0;22.22;Casa
Casa;Lins de Vasconcelos;2;0;0;40;950.0;0.0;50.0;23.75;Casa
Apartamento;Cidade Nova;1;0;0;46;1000.0;0.0;0.0;21.74;Apartmento
Apartamento;Olaria;1;0;0;39;800.0;0.0;0.0;20.51;Apartmento
Apartamento;Leblon;3;0;1;85;8500.0;0.0;1719.0;100.0;Apartmento
Apartamento;Tomás Coelho;2;0;0;70;800.0;0.0;0.0;11.43;Apartmento
Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;0.0;0.0;20.0;Casa
Casa;Grajaú;5;4;2;450;7000.0;0.0;500.0;15.56;Casa
Casa;Campo Grande;3;0;0;200;2100.0;0.0;0.0;10.5;Casa
Casa;Bonsucesso;2;0;0;51;1000.0;0.0;0.0;19.61;Casa
Apartamento;Campo Grande;2;0;1;58;1000.0;0.0;0.0;17.24;Apartmento
Casa;Engenho Novo;2;0;0;70;1100.0;0.0;0.0;15.71;Casa
Casa de Vila;Quintino Bocaiúva;2;1;0;48;750.0;0.0;0.0;15.62;Casa
Casa;Jardim Botânico;2;4;1;107;9500.0;0.0;1091.0;88.79;Casa
Casa;Recreio dos Bandeirantes;4;4;2;367;12000.0;0.0;653.0;32.7;Casa
Casa;Botafogo;12;5;0;500;18000.0;0.0;1800.0;36.0;Casa
Casa;Catete;10;0;10;300;15000.0;0.0;220.0;50.0;Casa
Quitinete;Gardênia Azul;1;0;0;20;485.0;0.0;0.0;24.25;Apartmento
Casa;São Conrado;4;0;4;1200;25000.0;0.0;0.0;20.83;Casa
Casa;Campo Grande;2;1;2;100;1500.0;0.0;30.0;15.0;Casa
Casa;Santa Teresa;5;3;0;260;7000.0;0.0;163.0;26.92;Casa
Apartamento;Piedade;2;1;0;83;950.0;0.0;13.0;11.45;Apartmento
Casa;Vila da Penha;1;0;0;40;850.0;0.0;0.0;21.25;Casa
Quitinete;Centro;1;0;1;15;750.0;0.0;0.0;50.0;Apartmento
Casa;Vaz Lobo;1;0;0;35;400.0;0.0;0.0;11.43;Casa
Casa;Campo Grande;2;1;0;100;1300.0;0.0;0.0;13.0;Casa
Apartamento;Jardim Guanabara;2;0;0;92;1600.0;0.0;99.0;17.39;Apartmento
Apartamento;Vila da Penha;2;0;0;70;1200.0;0.0;27.0;17.14;Apartmento
Apartamento;Praça Seca;1;0;1;50;600.0;0.0;0.0;12.0;Apartmento
Apartamento;Tijuca;2;0;1;80;1300.0;0.0;82.0;16.25;Apartmento
Casa;Campo Grande;2;0;0;70;1000.0;0.0;0.0;14.29;Casa
Casa;Ramos;2;0;0;40;950.0;0.0;0.0;23.75;Casa
Casa;Anil;3;6;1;280;2800.0;0.0;190.0;10.0;Casa
Apartamento;Grajaú;2;0;0;72;2000.0;0.0;758.0;27.78;Apartmento
Apartamento;Copacabana;2;0;0;56;3000.0;0.0;0.0;53.57;Apartmento
Casa de Condomínio;Joá;6;4;6;550;25000.0;0.0;672.0;45.45;Casa
Casa;Campo Grande;5;2;5;120;10000.0;0.0;0.0;83.33;Casa
Casa;Vargem Grande;7;10;2;500;12000.0;0.0;20.0;24.0;Casa
Casa;Barra da Tijuca;4;6;2;800;9800.0;0.0;490.0;12.25;Casa
Apartamento;Colégio;1;0;0;58;950.0;0.0;0.0;16.38;Apartmento
